source,station,year,rain_mm
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Badalgachhi,2018,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Badalgachhi,2019,1612.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Badalgachhi,2020,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Badalgachhi,2021,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Badalgachhi,2022,1291.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Badalgachhi,2023,1401.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Badalgachhi,2024,1221.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dimla,2016,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dimla,2017,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dimla,2018,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dimla,2019,2477.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dimla,2020,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dimla,2021,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dimla,2022,2377.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dimla,2023,2557.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Dimla,2024,2791.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Kumarkhalii,2016,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Kumarkhalii,2017,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Kumarkhalii,2018,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Kumarkhalii,2019,1611.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Kumarkhalii,2020,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Kumarkhalii,2021,
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Kumarkhalii,2022,1144.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Kumarkhalii,2023,1356.0
BBS Yearbook of Agricultural Statistics of Bangladesh 2025,Kumarkhalii,2024,1786.0
